Time	XP	YP	ZP	XP2	YP2	ZP2	XA	YA	ZA	Angle	AngleRate	FX1	FY1	FZ1	TX1	TY1	TZ1	FX2	FY2	FZ2	TX2	TY2	TZ2	StopTorque
1.70000000000000056e-03	7.42488271739442929e-03	8.18402431330228358e-02	6.01916693584730877e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.37087910083508929e-12	1.00000000000000000e+00	3.47678075100238102e-12	1.58370809048946626e-03	1.74892668224028802e+00	-1.63332839142748526e+02	1.16711721943436396e+03	-2.64712395642376532e+03	-1.29947841125848072e+02	-7.76149234252557960e+01	-7.86748550888452058e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-6.19049235160957639e-02
1.80000000000000060e-03	7.42488286204818007e-03	8.18402431328779656e-02	6.01916692570422573e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.37680409599418126e-12	1.00000000000000000e+00	3.48595339860757639e-12	1.76868030235510787e-03	1.84972212392483248e+00	-1.62974750940678859e+02	1.16456845632422619e+03	-2.64123108302650417e+03	-1.29683796442043018e+02	-7.73775199601899288e+01	-7.84725665500518943e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-6.55553150519656153e-02
1.90000000000000065e-03	7.42488301636246711e-03	8.18402431327874130e-02	6.01916691485837596e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.38048641512928328e-12	1.00000000000000000e+00	3.49187624362688894e-12	1.96370982903726343e-03	1.95029527300305894e+00	-1.62618950973339906e+02	1.16203664921886593e+03	-2.63537110318690520e+03	-1.29422700030778060e+02	-7.71376442567085405e+01	-7.82697937332006290e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-6.91816559289698957e-02
2.00000000000000048e-03	7.42488318024351820e-03	8.18402431327401036e-02	6.01916690331208537e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.38238106269327390e-12	1.00000000000000000e+00	3.49521560014215189e-12	2.16877456976671823e-03	2.05064741448791121e+00	-1.62265415964395970e+02	1.15952163510110245e+03	-2.62954369356698953e+03	-1.29164524253463810e+02	-7.68953167639641322e+01	-7.80665389123225992e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-7.27842025371752271e-02
2.10000000000000030e-03	7.42488335358645196e-03	8.18402431327272389e-02	6.01916689106809732e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.38285156388556568e-12	1.00000000000000000e+00	3.49650429983937747e-12	2.38385255102713245e-03	2.15077982088720177e+00	-1.61914122902795725e+02	1.15702325327693052e+03	-2.62374853538258230e+03	-1.28909241791728164e+02	-7.66505576796751029e+01	-7.78628043008801001e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-7.63632075848856839e-02
2.20000000000000013e-03	7.42488353627690154e-03	8.18402431327417690e-02	6.01916687812948825e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.38218848584941027e-12	1.00000000000000000e+00	3.49616854086786506e-12	2.60892192531425593e-03	2.25069375237962177e+00	-1.61565049032419097e+02	1.15454134531057298e+03	-2.61798531429277818e+03	-1.28656825639604477e+02	-7.64033869527488747e+01	-7.76585920512036694e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-7.99189201589679682e-02
2.29999999999999996e-03	7.42488372819231912e-03	8.18402431327780455e-02	6.01916686449958771e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.38062471749665952e-12	1.00000000000000000e+00	3.49454902993536518e-12	2.84396096993155822e-03	2.35039045698650950e+00	-1.61218171843039386e+02	1.15207575497265725e+03	-2.61225372030203607e+03	-1.28407249096611622e+02	-7.61538242862291526e+01	-7.74539042544023459e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-8.34515857829738888e-02
2.39999999999999979e-03	7.42488392920302373e-03	8.18402431328315583e-02	6.01916685018191844e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.37834613097967981e-12	1.00000000000000000e+00	3.49191828843879804e-12	3.08894808577964142e-03	2.44987117073891048e+00	-1.60873469061371338e+02	1.14962632818009115e+03	-2.60655344765580730e+03	-1.28160485760496641e+02	-7.59018891400054088e+01	-7.72487429399720043e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-8.69614464745093324e-02
2.49999999999999962e-03	7.42488413917307202e-03	8.18402431328986990e-02	6.01916683518014528e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.37550166581722880e-12	1.00000000000000000e+00	3.48849416717158914e-12	3.34386179618384460e-03	2.54913711784216224e+00	-1.60530918645761062e+02	1.14719291296195252e+03	-2.60088419477401521e+03	-1.27916509522473419e+02	-7.56476007346962263e+01	-7.70431100768739157e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-9.04487408008416149e-02
2.59999999999999945e-03	7.42488435796093485e-03	8.18402431329766089e-02	6.01916681949804189e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.37221043749566406e-12	1.00000000000000000e+00	3.48445077436309820e-12	3.60868074571918385e-03	2.64818951083471799e+00	-1.60190498776556296e+02	1.14477535939074983e+03	-2.59524566411945716e+03	-1.27675294558778006e+02	-7.53909780534813621e+01	-7.68370075722690018e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-9.39137039343785340e-02
