Time	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ
1.00000000000000024e-03	BoneTrunk	-1.65748596220858108e-02	4.77847382972467760e-02	7.38509952903302125e-01	-1.18551325271671999e+02	1.18544753406681639e+03	-2.68569321140919010e+03	BoneLeftThigh	-1.21759530870578191e-02	1.23860143073379045e-01	5.67834260479416209e-01	-9.11919151681598919e+02	-1.18544753406852442e+03	2.52891397705128338e+03	BoneLeftThigh	7.42488191329859423e-03	1.10073109431637395e-01	6.01916699168228764e-01	1.03047047695327092e+03	1.70795107944392404e-09	1.56779234357906489e+02
1.10000000000000028e-03	BoneTrunk	-1.65748596221714853e-02	4.77847382988364350e-02	7.38509952899855771e-01	-1.18281953113424350e+02	1.18277530478390167e+03	-2.67959082170884767e+03	BoneLeftThigh	-1.21794873451824999e-02	1.23860143071875026e-01	5.67836292861303993e-01	-9.09585439975902204e+02	-1.18277530478565518e+03	2.52326215831774380e+03	BoneLeftThigh	7.42488197958681914e-03	1.10073546791822560e-01	6.01916698713726772e-01	1.02786739308932670e+03	1.75351790648723190e-09	1.56328663391103788e+02
1.20000000000000033e-03	BoneTrunk	-1.65748596222384942e-02	4.77847383000799680e-02	7.38509952897159705e-01	-1.18014197187792789e+02	1.18012124434023622e+03	-2.67352505206351134e+03	BoneLeftThigh	-1.21833703053737669e-02	1.23860143070698508e-01	5.67838526305650459e-01	-9.07239559542987649e+02	-1.18012124434202542e+03	2.51765365694829234e+03	BoneLeftThigh	7.42488205550169769e-03	1.10074027354564966e-01	6.01916698190890997e-01	1.02525375673078020e+03	1.78903513639095672e-09	1.55871395115219315e+02
1.30000000000000037e-03	BoneTrunk	-1.65748596222905845e-02	4.77847383010467780e-02	7.38509952895063604e-01	-1.17748041100555710e+02	1.17748517096454430e+03	-2.66749553111162413e+03	BoneLeftThigh	-1.21876011094538342e-02	1.23860143069783796e-01	5.67840960476465151e-01	-9.04881603171739926e+02	-1.17748517096635783e+03	2.51208803466769041e+03	BoneLeftThigh	7.42488214117250842e-03	1.10074551027325399e-01	6.01916697598817274e-01	1.02262964427229576e+03	1.81365160940624166e-09	1.55407496443933667e+02
1.40000000000000042e-03	BoneTrunk	-1.65748596223307329e-02	4.77847383017924107e-02	7.38509952893447119e-01	-1.17483468740452793e+02	1.17486690595248479e+03	-2.66150189387393493e+03	BoneLeftThigh	-1.21921788980383639e-02	1.23860143069078346e-01	5.67843595051015004e-01	-9.02511662773415651e+02	-1.17486690595431719e+03	2.50656485953894571e+03	BoneLeftThigh	7.42488223667791408e-03	1.10075117718574977e-01	6.01916696936879880e-01	1.01999513151386839e+03	1.83223569647626430e-09	1.54937034334989278e+02
1.50000000000000046e-03	BoneTrunk	-1.65748596223613542e-02	4.77847383023612821e-02	7.38509952892213661e-01	-1.17220464261525009e+02	1.17226627348788611e+03	-2.65554378135896241e+03	BoneLeftThigh	-1.21971028105174531e-02	1.23860143068540124e-01	5.67846429719659263e-01	-9.00129829299600033e+02	-1.17226627348973193e+03	2.50108370558777779e+03	BoneLeftThigh	7.42488234205544717e-03	1.10075727337789170e-01	6.01916696204673807e-01	1.01735029356112500e+03	1.84588040125493635e-09	1.54460075771184790e+02
1.60000000000000051e-03	BoneTrunk	-1.65748596223843428e-02	4.77847383027889400e-02	7.38509952891286736e-01	-1.16959012073153559e+02	1.16968310054067365e+03	-2.64962084034183999e+03	BoneLeftThigh	-1.22023719850384953e-02	1.23860143068135531e-01	5.67849464185697483e-01	-8.97736192717939048e+02	-1.16968310054252811e+03	2.49564415259044699e+03	BoneLeftThigh	7.42488245730904550e-03	1.10076379795441298e-01	6.01916695401971014e-01	1.01469520479109258e+03	1.85442962259965655e-09	1.53976687751393200e+02
1.70000000000000056e-03	BoneTrunk	-1.65748596224012459e-02	4.77847383031038062e-02	7.38509952890604393e-01	-1.16699096824144235e+02	1.16711721670497241e+03	-2.64373272300723283e+03	BoneLeftThigh	-1.22079855584900435e-02	1.23860143067837644e-01	5.67852698165226544e-01	-8.95330841940795381e+02	-1.16711721670683210e+03	2.49024578573362032e+03	BoneLeftThigh	7.42488258241514112e-03	1.10077075002995489e-01	6.01916694528682128e-01	1.01202993876493952e+03	1.85959666301824255e-09	1.53486937273612398e+02
1.80000000000000060e-03	BoneTrunk	-1.65748596224132849e-02	4.77847383033286333e-02	7.38509952890117338e-01	-1.16440703397718281e+02	1.16456845414616669e+03	-2.63787908683879687e+03	BoneLeftThigh	-1.22139426664870307e-02	1.23860143067624953e-01	5.67856131387006857e-01	-8.92913864836512175e+02	-1.16456845414802751e+03	2.48488819550651579e+03	BoneLeftThigh	7.42488271732747590e-03	1.10077812872899694e-01	6.01916693584829021e-01	1.00935456823423033e+03	1.86098166772127656e-09	1.52990891332281223e+02
1.90000000000000065e-03	BoneTrunk	-1.65748596224214520e-02	4.77847383034815873e-02	7.38509952889786381e-01	-1.16183816899907896e+02	1.16203664748179676e+03	-2.63205959435846671e+03	BoneLeftThigh	-1.22202424433562468e-02	1.23860143067480263e-01	5.67859763592334144e-01	-8.90485348188840021e+02	-1.16203664748365759e+03	2.47957097745165629e+03	BoneLeftThigh	7.42488286198106362e-03	1.10078593318578388e-01	6.01916692570521050e-01	1.00666916508874772e+03	1.86092733774202383e-09	1.52488616906810137e+02
