Time	VMax	F0	K	Alpha	FCE	LCE	VCE	PMECH	PMET
3.89999999999999722e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.75994731157553633e+03	1.88354926307222725e-01	-1.04832037463309380e-01	-2.89330899963846605e+02	1.54834383787699949e+03
3.99999999999999748e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.75431798987000684e+03	1.88344178766341158e-01	-1.07475408815671525e-01	-2.96021451969637610e+02	1.55330421364369772e+03
4.09999999999999774e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.74871969336490156e+03	1.88333167439450860e-01	-1.10113268902978234e-01	-3.02670510734401262e+02	1.55826521899748855e+03
4.19999999999999801e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.74315214569384170e+03	1.88321892874981606e-01	-1.12745644692546776e-01	-3.09278457155995170e+02	1.56322680718413812e+03
4.29999999999999827e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.73761507396568186e+03	1.88310355618692193e-01	-1.15372562894122677e-01	-3.15845667301003914e+02	1.56818893172382900e+03
4.39999999999999853e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.73210820865713413e+03	1.88298556213693430e-01	-1.17994049987635297e-01	-3.22372512543918617e+02	1.57315154645576649e+03
4.49999999999999879e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.72663128362286034e+03	1.88286495200473858e-01	-1.20610132195719810e-01	-3.28859359566738362e+02	1.57811460547861088e+03
4.59999999999999905e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.72118403598322948e+03	1.88274173116922378e-01	-1.23220835514803451e-01	-3.35306570503398518e+02	1.58307806320173790e+03
4.69999999999999932e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.71576620613058913e+03	1.88261590498353365e-01	-1.25826185690125492e-01	-3.41714502943555146e+02	1.58804187429036460e+03
4.79999999999999958e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.71037753761926842e+03	1.88248747877528683e-01	-1.28426208246823492e-01	-3.48083510073804860e+02	1.59300599371726435e+03
4.89999999999999984e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.70501777715667049e+03	1.88235645784681382e-01	-1.31020928473002396e-01	-3.54413940699044076e+02	1.59797037672330930e+03
5.00000000000000010e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.69968667454420347e+03	1.88222284747538660e-01	-1.33610371427228536e-01	-3.60706139322990452e+02	1.60293497882451834e+03
5.10000000000000037e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.69438398260960184e+03	1.88208665291343585e-01	-1.36194561950742088e-01	-3.66960446238610587e+02	1.60789975582840179e+03
5.20000000000000063e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.68910945718125049e+03	1.88194787938877617e-01	-1.38773524659685510e-01	-3.73177197568735778e+02	1.61286466381211289e+03
5.30000000000000089e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.68386285704257216e+03	1.88180653210482884e-01	-1.41347283947323987e-01	-3.79356725330072663e+02	1.61782965911975793e+03
5.40000000000000115e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.67864394388662231e+03	1.88166261624084230e-01	-1.43915863986543435e-01	-3.85499357496765413e+02	1.62279469836032604e+03
5.50000000000000142e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.67345248223891213e+03	1.88151613695209385e-01	-1.46479288748446734e-01	-3.91605418101125281e+02	1.62775973843692623e+03
5.60000000000000168e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.66828823946104330e+03	1.88136709937011232e-01	-1.49037581981537048e-01	-3.97675227239046421e+02	1.63272473649993185e+03
5.70000000000000194e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.66315098567221276e+03	1.88121550860288062e-01	-1.51590767231701840e-01	-4.03709101171913744e+02	1.63768964997909006e+03
5.80000000000000220e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.65804049372769487e+03	1.88106136973504617e-01	-1.54138867834441307e-01	-4.09707352361286269e+02	1.64265443656199591e+03
5.90000000000000246e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.65295653916440870e+03	1.88090468782812242e-01	-1.56681906923750169e-01	-4.15670289542112243e+02	1.64761905420497396e+03
6.00000000000000273e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.64789890017501739e+03	1.88074546792069530e-01	-1.59219907427121665e-01	-4.21598217762243564e+02	1.65258346111700985e+03
6.10000000000000299e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.64286735755382051e+03	1.88058371502862032e-01	-1.61752892074984445e-01	-4.27491438454902436e+02	1.65754761577193176e+03
6.20000000000000325e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.63786169465015291e+03	1.88041943414521351e-01	-1.64280883406808798e-01	-4.33350249502108852e+02	1.66251147691428082e+03
6.30000000000000351e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.63288169736633608e+03	1.88025263024145850e-01	-1.66803903755008420e-01	-4.39174945245817526e+02	1.66747500352163047e+03
6.40000000000000378e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.62792715407323976e+03	1.88008330826618775e-01	-1.69321975270753100e-01	-4.44965816595329670e+02	1.67243815484926699e+03
6.50000000000000404e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.62299785561377030e+03	1.87991147314628210e-01	-1.71835119905650036e-01	-4.50723151031655163e+02	1.67740089038824476e+03
6.60000000000000430e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.61809359523413832e+03	1.87973712978685176e-01	-1.74343359430340072e-01	-4.56447232696176627e+02	1.68236316989616557e+03
6.70000000000000456e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.61321416856872656e+03	1.87956028307142559e-01	-1.76846715426171031e-01	-4.62138342416511705e+02	1.68732495337499563e+03
6.80000000000000483e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.60835937360629759e+03	1.87938093786213900e-01	-1.79345209286585483e-01	-4.67796757754048429e+02	1.69228620106803146e+03
