Time	VMax	F0	K	Alpha	FCE	LCE	VCE	PMECH	PMET
3.69999999999999756e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84755294293919153e-01	2.58487976528831709e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.79999999999999739e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84757947809350231e-01	2.65351543107805732e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.89999999999999722e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84760669790829335e-01	2.72198147910351906e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.99999999999999748e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84763460068835567e-01	2.79027800623166122e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.09999999999999774e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84766318473939206e-01	2.85840510363954969e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.19999999999999801e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84769244836795632e-01	2.92636285642577931e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.29999999999999827e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84772238988139326e-01	2.99415134369374059e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.39999999999999853e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84775300758777905e-01	3.06177063857937526e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.49999999999999879e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84778429979585490e-01	3.12922080758504251e-02	0.00000000000000000e+00	0.00000000000000000e+00
4.59999999999999905e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84781626481497124e-01	3.19650191163423081e-02	0.00000000000000000e+00	0.00000000000000000e+00
